ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
40,Concrete Alley Menu,N BOSWORTH AV & N ASHLAND AV & W ARTHUR AV & W ALBION AV,2007,158000,32121,N BOSWORTH AV & W ARTHUR AV,N ASHLAND AV & W ARTHUR AV,N BOSWORTH AV & W ALBION AV,N ASHLAND AV & W ALBION AV,41.999924038000074,-87.66921930299998,census,41.99992805800008,-87.67044134899999,census,42.00174504700004,-87.66927558199995,census,42.0017438,-87.6704891,google
40,Concrete Alley Menu,N BOSWORTH AV & N ASHLAND AV & W DEVON AV & W ARTHUR AV,2008,25000,32180,N BOSWORTH AV & W DEVON AV,N ASHLAND AV & W DEVON AV,N BOSWORTH AV & W ARTHUR AV,N ASHLAND AV & W ARTHUR AV,41.9981008,-87.6691621,google,41.9520221,-87.6690442,google,41.999924038000074,-87.66921930299998,census,41.99992805800008,-87.67044134899999,census
1,Alley Speed Hump Menu,N PAULINA ST & N ASHLAND AV & W JULIAN ST & W BEACH AV,2008,500,240,N PAULINA ST & W JULIAN ST,N ASHLAND AV & W JULIAN ST,N PAULINA ST & W BEACH AV,N ASHLAND AV & W BEACH AV,41.908333,-87.6700519,google,41.908359044000065,-87.66762340799994,census,41.9075798,-87.6700349,google,41.9075948,-87.6676808,google
1,Concrete Alley Menu,W WALTON ST & W CHESTNUT ST & N GREENVIEW AV & N ASHLAND AV,2009,54000,314,N GREENVIEW AV & W WALTON ST,N ASHLAND AV & W WALTON ST,N GREENVIEW AV & W CHESTNUT ST,N ASHLAND AV & W CHESTNUT ST,41.89884397000003,-87.66491802399997,census,41.89857463800007,-87.66735809599999,census,41.8979437,-87.6648736,google,41.897891257000026,-87.66733799599996,census
27,Concrete Alley Menu,W THOMAS ST & W CORTEZ ST & N MILWAUKEE AV & N ASHLAND AV,2009,195000,21817,N MILWAUKEE AV & W THOMAS ST,N ASHLAND AV & W THOMAS ST,N MILWAUKEE AV & W CORTEZ ST,N ASHLAND AV & W CORTEZ ST,41.9016292,-87.6637779,google,41.9015244,-87.6673794,google,41.90011023500006,-87.66140062299996,census,41.90104284900008,-87.66742643399994,census
32,Alley Resurface Menu,W MONTANA ST & W FULLERTON AV & N GREENVIEW AV & N ASHLAND AV,2007,30146,25833,N GREENVIEW AV & W MONTANA ST,N ASHLAND AV & W MONTANA ST,N GREENVIEW AV & W FULLERTON AV,N ASHLAND AV & W FULLERTON AV,41.9260835,-87.6657562,google,41.9260556,-87.6680831,google,41.925186292000035,-87.66576621999997,census,41.9251462,-87.6682275,google
46,Alley Speed Hump Menu,W AINSLIE ST & W LAWRENCE AV & N CLARK ST & N ASHLAND AV,2005,2625,36774,N CLARK ST & W AINSLIE ST,N ASHLAND AV & W AINSLIE ST,N CLARK ST & W LAWRENCE AV,N ASHLAND AV & W LAWRENCE AV,41.97187728400007,-87.66783244199996,census,41.9718459,-87.669431,google,41.96890256700004,-87.66749477199994,census,41.968873,-87.6695026,google
32,Alley Resurface Menu,W ALTGELD ST & N GREENVIEW AV & W MONTANA ST & N ASHLAND AV,2010,19767,25973,N GREENVIEW AV & W ALTGELD ST,N ASHLAND AV & W ALTGELD ST,N GREENVIEW AV & W MONTANA ST,N ASHLAND AV & W MONTANA ST,41.92699926100005,-87.66579435899996,census,41.9269519,-87.6682867,google,41.9260835,-87.6657562,google,41.9260556,-87.6680831,google
40,Concrete Alley Menu,W HOLLYWOOD AV & W OLIVE AV & N HERMITAGE AV & N ASHLAND AV,2009,44000,32221,N HERMITAGE AV & W HOLLYWOOD AV,N ASHLAND AV & W HOLLYWOOD AV,N HERMITAGE AV & W OLIVE AV,N ASHLAND AV & W OLIVE AV,41.985066534000055,-87.67305829599997,census,41.98511879300003,-87.66985846599994,census,41.984246477000056,-87.67303417699998,census,41.984334915000034,-87.66983836599996,census
49,Alley Speed Hump Menu,W COLUMBIA AV & N CLARK ST & W PRATT AV & N ASHLAND AV,2006,1500,39088,N CLARK ST & W COLUMBIA AV,N ASHLAND AV & W COLUMBIA AV,N CLARK ST & W PRATT AV,N ASHLAND AV & W PRATT AV,42.0043902,-87.672759,google,42.0044297,-87.6705647,google,42.005334806000064,-87.67309849499998,census,42.005387065000036,-87.66994690299998,census
40,Concrete Alley Menu,W EDGEWATER AV & W ROSEHILL DR & N HERMITAGE AV & N ASHLAND AV,2005,139825,32012,N HERMITAGE AV & W EDGEWATER AV,N ASHLAND AV & W EDGEWATER AV,N HERMITAGE AV & W ROSEHILL DR,N ASHLAND AV & W ROSEHILL DR,41.98588659100005,-87.67307839499995,census,41.985938850000025,-87.66987052499996,census,41.98669860800004,-87.67308241499995,census,41.986754887000075,-87.66985846599994,census
46,Alley Speed Hump Menu,N CLARK ST & N ASHLAND AV & W AINSLIE ST & W WINNEMAC AV,2006,1000,36800,N CLARK ST & W AINSLIE ST,N ASHLAND AV & W AINSLIE ST,N CLARK ST & W WINNEMAC AV,N ASHLAND AV & W WINNEMAC AV,41.97187728400007,-87.66783244199996,census,41.9718459,-87.669431,google,41.9733969,-87.6680766,google,41.97343700000005,-87.66955697399999,census
46,Alley Speed Hump Menu,N CLARK ST & N ASHLAND AV & W CARMEN AV & W WINNEMAC AV,2006,2000,36801,N CLARK ST & W CARMEN AV,N ASHLAND AV & W CARMEN AV,N CLARK ST & W WINNEMAC AV,N ASHLAND AV & W WINNEMAC AV,41.97436961400007,-87.66820629199998,census,41.9743345,-87.6696508,google,41.9733969,-87.6680766,google,41.97343700000005,-87.66955697399999,census
47,Alley Speed Hump Menu,N RAVENSWOOD & N ASHLAND AV & W CARMEN AV & W WINONA ST,2008,3000,37465,N RAVENSWOOD & W CARMEN AV,N ASHLAND AV & W CARMEN AV,N RAVENSWOOD & W WINONA ST,N ASHLAND AV & W WINONA ST,41.974281176000034,-87.67435671899995,census,41.9743345,-87.6696508,google,41.9751815,-87.6743839,google,41.97524996900006,-87.66959315299994,census
32,Miscellaneous-CDOT,N CLYBOURN AVE & N ASHLAND AVE & W WEBSTER AVE & N DOMINICK ST,2010,2500,26008,N CLYBOURN AVE & W WEBSTER AVE,N ASHLAND AVE & W WEBSTER AVE,N DOMINICK ST & W WEBSTER AVE,N ASHLAND AVE & N CLYBOURN AVE,41.92161663200005,-87.66439543899997,census,41.9215367,-87.6686977,google,41.921600553000076,-87.66649783999998,census,41.924281817000065,-87.66810981499998,census
1,Alley Speed Hump Menu,N ASHLAND AVE & N PAULINA ST & W DIVISION ST & N MILWAUKEE AVE,2011,2200,382,N ASHLAND AVE & W DIVISION ST,N PAULINA ST & W DIVISION ST,N MILWAUKEE AVE & W DIVISION ST,N ASHLAND AVE & N MILWAUKEE AVE,41.90334624400003,-87.66749477199994,census,41.9032963,-87.6699345,google,41.90335830400005,-87.66648175999995,census,41.9040756,-87.6675911,google
1,Alley Resurfacing Menu,N ASHLAND AVE & N MILWAUKEE AVE & W BLACKHAWK ST & N PAULINA ST,2020,7710.855,40254,N ASHLAND AVE & W BLACKHAWK ST,N MILWAUKEE AVE & W BLACKHAWK ST,N PAULINA ST & W BLACKHAWK ST,N ASHLAND AVE & N MILWAUKEE AVE,41.9069482,-87.6676636,google,41.907161,-87.6554477,google,41.90699228200003,-87.67002730099995,census,41.9040756,-87.6675911,google
47,Alley Resurfacing Menu,N CLARK ST & W LAWRENCE AVE & N ASHLAND AVE & W AINSLIE ST,2016,56992.79,37914,N CLARK ST & W LAWRENCE AVE,N ASHLAND AVE & W LAWRENCE AVE,N CLARK ST & W AINSLIE ST,N ASHLAND AVE & W AINSLIE ST,41.9688949,-87.6675066,google,41.968873,-87.6695026,google,41.97187728400007,-87.66783244199996,census,41.9718459,-87.669431,google
40,Concrete Alley Menu,W RASCHER AVE & N PAULINA ST & W CATALPA AVE & N ASHLAND AVE,2019,125000,42899,N PAULINA ST & W RASCHER AVE,N ASHLAND AVE & W RASCHER AVE,N PAULINA ST & W CATALPA AVE,N ASHLAND AVE & W CATALPA AVE,41.98070093600006,-87.67218597999994,census,41.9807273,-87.6698045,google,41.9816026,-87.6722208,google,41.981635,-87.6698339,google
27,Concrete Alley Menu,W THOMAS ST & W CORTEZ ST & N MILWAUKEE AVE & N ASHLAND AVE,2012,291000,21959,N MILWAUKEE AVE & W THOMAS ST,N ASHLAND AVE & W THOMAS ST,N MILWAUKEE AVE & W CORTEZ ST,N ASHLAND AVE & W CORTEZ ST,41.9016292,-87.6637779,google,41.9015244,-87.6673794,google,41.90011023500006,-87.66140062299996,census,41.9010313,-87.6674893,google
27,Miscellaneous Other,W THOMAS ST & N MILWAUKEE AVE & W CORTEZ ST & N ASHLAND AVE,2013,20000,21988,N MILWAUKEE AVE & W THOMAS ST,N ASHLAND AVE & W THOMAS ST,N MILWAUKEE AVE & W CORTEZ ST,N ASHLAND AVE & W CORTEZ ST,41.9016292,-87.6637779,google,41.9015244,-87.6673794,google,41.90011023500006,-87.66140062299996,census,41.9010313,-87.6674893,google
47,Concrete Alley Menu,N GREENVIEW AVE & N ASHLAND AVE & W MONTROSE AVE & W CULLOM AVE,2012,227000,37668,N GREENVIEW AVE & W MONTROSE AVE,N ASHLAND AVE & W MONTROSE AVE,N GREENVIEW AVE & W CULLOM AVE,N ASHLAND AVE & W CULLOM AVE,41.96161451100005,-87.66772390499995,census,41.9615892,-87.6693202,google,41.959789482000076,-87.66768772599994,census,41.95976938300004,-87.66920322399994,census
44,Alley Resurfacing Menu,N BOSWORTH AVE & W WAVELAND AVE & N ASHLAND AVE & W GRACE ST,2014,26755,35618,N BOSWORTH AVE & W WAVELAND AVE,N ASHLAND AVE & W WAVELAND AVE,N BOSWORTH AVE & W GRACE ST,N ASHLAND AVE & W GRACE ST,41.948835289000044,-87.66769174599995,census,41.94881519000006,-87.66890575199994,census,41.950660318000075,-87.66773596499996,census,41.9506291,-87.6690158,google
40,Alley Resurfacing Menu,W CATALPA AVE & N PAULINA ST & W GREGORY ST & N ASHLAND AVE,2018,7023.08,42887,N PAULINA ST & W CATALPA AVE,N ASHLAND AVE & W CATALPA AVE,N PAULINA ST & W GREGORY ST,N ASHLAND AVE & W GREGORY ST,41.9816026,-87.6722208,google,41.981653650000055,-87.66976198799995,census,41.982525965000036,-87.67224225899997,census,41.9825384,-87.6698563,google
44,Alley Resurfacing Menu,W SCHOOL ST & N GREENVIEW AVE & W HENDERSON ST & N ASHLAND AVE,2015,25509,35700,N GREENVIEW AVE & W SCHOOL ST,N ASHLAND AVE & W SCHOOL ST,N GREENVIEW AVE & W HENDERSON ST,N ASHLAND AVE & W HENDERSON ST,41.941563313000074,-87.66629282499997,census,41.9415116,-87.6687069,google,41.942467788000044,-87.66631694499995,census,41.942429,-87.6687364,google
49,Alley Resurfacing Menu,N BOSWORTH AVE & W HOWARD ST & N ASHLAND AVE & W JONQUIL TER,2015,36202,39433,N BOSWORTH AVE & W HOWARD ST,N ASHLAND AVE & W HOWARD ST,N BOSWORTH AVE & W JONQUIL TER,N ASHLAND AVE & W JONQUIL TER,42.019364213000074,-87.66949667599994,census,42.0193622,-87.6713202,google,42.02114502300003,-87.66947657599997,census,42.0211508,-87.670691,google
32,Alley Speed Hump Menu,W ALTGELD ST & N GREENVIEW AVE & W MONTANA ST & N ASHLAND AVE,2017,2100,26274,N GREENVIEW AVE & W ALTGELD ST,N ASHLAND AVE & W ALTGELD ST,N GREENVIEW AVE & W MONTANA ST,N ASHLAND AVE & W MONTANA ST,41.92699926100005,-87.66579435899996,census,41.9269519,-87.6682867,google,41.9260835,-87.6657562,google,41.9260556,-87.6680831,google
49,Alley Resurfacing Menu (1-1),N CLARK ST & W COLUMBIA AVE & N ASHLAND AVE & W NORTH SHORE AVE,2017,35060.43,39535,N CLARK ST & W COLUMBIA AVE,N ASHLAND AVE & W COLUMBIA AVE,N CLARK ST & W NORTH SHORE AVE,N ASHLAND AVE & W NORTH SHORE AVE,42.00439013300007,-87.67278092399994,census,42.0044297,-87.6705647,google,42.003517817000045,-87.67247943199999,census,42.003543,-87.6705327,google
40,Alley Speed Hump Menu,N BOSWORTH AVE & W ARTHUR AVE & W SCHREIBER AVE & N ASHLAND AVE,2013,1400,32373,N BOSWORTH AVE & W ARTHUR AVE,N ASHLAND AVE & W ARTHUR AVE,N BOSWORTH AVE & W SCHREIBER AVE,N ASHLAND AVE & W SCHREIBER AVE,41.999924038000074,-87.66921930299998,census,41.99992805800008,-87.67044134899999,census,41.99899142400005,-87.66919116399998,census,41.9520221,-87.6690442,google
