ward,type,location,year,est_cost,id,point_location,lat,long,query
10,Sidewalk Menu,10001 S COMMERCIAL AVE,2018,4838,40655,10001 S COMMERCIAL AVE,41.71326133300005,-87.55094788099996,census
10,Sidewalk Menu,10005 S AVENUE N,2017,2062.82,7805,10005 S AVENUE N,41.7136689,-87.5384161,google
10,Sidewalk Menu,10005 S AVENUE N,2018,2217,7840,10005 S AVENUE N,41.7136689,-87.5384161,google
5,Sidewalk Menu,1001 E 53RD ST,2019,14490,4180,1001 E 53RD ST,41.7992234,-87.6011175,google
5,Sidewalk Menu,1001 E 53RD ST,2021,2900.155,40476,1001 E 53RD ST,41.7992234,-87.6011175,google
37,Alley Resurfacing Menu (1-1),1001 N LECLAIRE AVE,2019,18077.875,42752,1001 N LECLAIRE AVE,41.89875755200006,-87.75323482699997,census
37,Alley Speed Hump Menu,1001 N LECLAIRE AVE,2019,700,42776,1001 N LECLAIRE AVE,41.89875755200006,-87.75323482699997,census
27,Sidewalk Menu,1001 N MILWAUKEE AVE,2015,10715,22083,1001 N MILWAUKEE AVE,41.90017199700003,-87.66148542799993,census
43,Miscellaneous CDOT Projects,1001 W ALTGELD ST,2018,616.190476190476,43024,1001 W ALTGELD ST,41.927189577000036,-87.65371370499997,census
44,Miscellaneous CDOT Projects,1001 W WELLINGTON AVE,2019,582.5,43175,1001 W WELLINGTON AVE,41.93626685900006,-87.65402863599996,census
34,Sidewalk Menu,10011 S CHARLES ST,2019,4967.22,27976,10011 S CHARLES ST,41.711020320000046,-87.66037308199998,census
7,Bollard Menu,10015 S PAXTON AV,2007,714,4868,10015 S PAXTON AV,41.71273609900004,-87.56940291299998,census
25,Sidewalk Menu,1002 W 18TH ST,2020,23607.86,20777,1002 W 18TH ST,NA,NA,census
44,Alley Resurfacing Menu,1002 W DIVERSEY PKWY,2021,3367.96,43234,1002 W DIVERSEY PKWY,41.932641911000076,-87.65403587399999,census
7,Sidewalk Menu,10031 S MERRILL AVE,2022,1673.71,5436,10031 S MERRILL AVE,41.71252582200003,-87.57060795799998,census
10,Sidewalk Menu,10035 S AVENUE N,2018,8642,40661,10035 S AVENUE N,41.71316065000008,-87.53768238599997,census
26,Sidewalk Menu,1004 N KEDZIE AVE,2019,24507.17,21492,1004 N KEDZIE AVE,41.89937826400006,-87.70668380199999,census
10,Sidewalk Menu,10043 S AVENUE N,2018,8642,40662,10043 S AVENUE N,41.7126336,-87.5386437,google
10,Sidewalk Menu,10047 S AVENUE N,2018,8642,40663,10047 S AVENUE N,41.7125105,-87.5386628,google
9,Miscellaneous CDOT Projects,10048 S MICHIGAN AVE,2022,187.5,40636,10048 S MICHIGAN AVE,41.71147956300007,-87.61999042099995,census
27,Concrete Alley Menu,1008 N LARRABEE ST,2017,88000,41899,1008 N LARRABEE ST,41.90078665300007,-87.64311027899998,census
21,Sidewalk Menu,1008 W 89TH ST,2017,21561.9,17105,1008 W 89TH ST,41.73246631500007,-87.64884656099997,census
43,Curb & Gutter Menu,1009 W ARMITAGE AVE,2017,1500.87,35069,1009 W ARMITAGE AVE,41.91809589600007,-87.65371303299997,census
21,Bollard Menu,101 W 83RD ST,2022,4491.67,17373,101 W 83RD ST,41.7434084,-87.6270285,google
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,101 W IDA B WELLS DR,2021,27410,40404,101 W IDA B WELLS DR,41.8753788,-87.6310683,google
10,Sidewalk Menu,10108 S AVENUE M,2016,4661.01,7770,10108 S AVENUE M,41.711671100000046,-87.53769995299996,census
7,Sidewalk Menu,10111 S CRANDON AVE,2019,4083.65,5346,10111 S CRANDON AVE,41.71138364600006,-87.56696682099994,census
10,Sidewalk Menu,10116 S EWING AVE,2019,12951,7877,10116 S EWING AVE,41.71155738600004,-87.53528411299999,census
4,Curb & Gutter Menu,1012 E 47TH ST,2015,5748,3376,1012 E 47TH ST,41.80959961800005,-87.60124665499995,census
7,Sidewalk Menu,10120 S CALHOUN AVE,2022,5489.71,5437,10120 S CALHOUN AVE,41.71129148600005,-87.56214385399994,census
10,Sidewalk Menu,10125 S EWING AVE,2017,10410.75,7797,10125 S EWING AVE,41.711425322000025,-87.53526988299996,census
7,Sidewalk Menu,10127 S CRANDON AVE,2020,6955.66,5372,10127 S CRANDON AVE,41.711133379000046,-87.56696277199995,census
25,Street Light Upgrade Menu,1013 W 19TH ST,2016,450,20660,1013 W 19TH ST,41.85665379000005,-87.65215491699996,census
25,Alley Resurfacing Menu,1014 S MAY ST,2018,22179.44,41673,1014 S MAY ST,41.868939115000046,-87.65524383599995,census
44,Alley Apron Menu,1014 W OAKDALE AVE,2017,10095.68,35827,1014 W OAKDALE AVE,41.93534453900003,-87.65492634599997,census
44,Alley Apron Menu,1014 W WOLFRAM ST,2017,7722.33,35824,1014 W WOLFRAM ST,41.933540436000044,-87.65455214999997,census
7,Sidewalk Menu,10141 S CRANDON AVE,2020,6255.14,5374,10141 S CRANDON AVE,41.71091437300004,-87.56695884399994,census
43,Alley Apron Menu,1015 W ALTGELD ST,2018,8027.19,35095,1015 W ALTGELD ST,41.9269428,-87.6543134,google
44,Alley Apron Menu,1015 W OAKDALE AVE,2017,8696.35,35826,1015 W OAKDALE AVE,41.9351211,-87.6546216,google
34,Alley Apron Menu,10153 S WINSTON AVE,2018,27957.01,27936,10153 S WINSTON AVE,41.709839800000054,-87.65569754099994,census
9,Bollard Menu,10155 S STATE ST,2005,395,6337,10155 S STATE ST,41.7091117,-87.6232882,google
10,Guardrail Menu,10156 S INDIANAPOLIS AV,2009,7500,7432,10156 S INDIANAPOLIS AV,41.710976463000065,-87.53340529999997,census
43,Miscellaneous CDOT Projects,1016 W ALTGELD ST,2018,616.190476190476,43025,1016 W ALTGELD ST,41.92718675000003,-87.65444109599997,census
48,Sidewalk Menu,1017 W ARDMORE AVE,2020,4409.79,38967,1017 W ARDMORE AVE,41.98731330100003,-87.65757751199999,census
46,Alley Apron Menu,1017 W IRVING PARK RD,2017,9226.72,37112,1017 W IRVING PARK RD,41.954463099000066,-87.65574756499996,census
26,Street Speed Hump Menu,1019 N SACRAMENTO AVE,2019,2350,21511,1019 N SACRAMENTO AVE,41.89979806400004,-87.70172539699996,census
6,Sidewalk Menu,102 W 77TH ST,2022,5440.63,4753,102 W 77TH ST,41.75455155700007,-87.62743481499996,census
2,Sidewalk Menu,102 W GERMANIA PL,2017,38823.28,2190,102 W GERMANIA PL,41.91043476800007,-87.63171695999995,census
2,Sidewalk Menu,102 W GERMANIA PL,2018,63565.31,2229,102 W GERMANIA PL,41.91043476800007,-87.63171695999995,census
1,Alley Resurfacing Menu,1020 N MARSHFIELD AVE,2022,19151.03,40273,1020 N MARSHFIELD AVE,41.900527124000064,-87.66863903799998,census
25,Sidewalk Menu,1020 W MONROE ST,2019,14903.4,20741,1020 W MONROE ST,41.88040766600005,-87.65266688699995,census
9,POD Camera,10200 S. LaSalle,2009,24000,6522,10200 S. LaSalle,41.7088129,-87.6274502,google
9,POD Camera,10200 S. State,2009,24000,6520,10200 S. State,41.7088494,-87.6238644,google
8,Pedestrian Refuge Island Menu,10201 S COTTAGE GROVE AVE,2021,40741.11,6150,10201 S COTTAGE GROVE AVE,41.7086719,-87.6054399,google
10,Miscellaneous-CDOT,10212 S. Ewing Av.,2007,2259,7297,10212 S. Ewing Av.,41.70971555700004,-87.53529165599997,census
27,Alley Speed Hump Menu,1022 N ST LOUIS AVE,2018,1400,22196,1022 N ST LOUIS AVE,41.8998441,-87.7142968,google
9,Sidewalk Menu,10222 S ST LAWRENCE AVE,2018,496.66,6775,10222 S ST LAWRENCE AVE,41.7084811,-87.6092136,google
10,Bollard Menu,10224 S VAN VLISSINGEN RD,2008,630,7381,10224 S VAN VLISSINGEN RD,41.70945564800007,-87.56892638899996,census
34,Sidewalk Menu,10228 S BEVERLY AVE,2022,13202.29,28075,10228 S BEVERLY AVE,41.70814082900006,-87.65666341299999,census
48,Alley Apron Menu,1023 W THORNDALE AVE,2017,10060.74,38759,1023 W THORNDALE AVE,41.990080843000044,-87.65659991399997,census
32,Chicago Park District,1023 W Wrightwood,2006,10000,25822,1023 W Wrightwood,41.928599,-87.654708,google
10,Sidewalk Menu,10231 S AVENUE M,2019,6900,7887,10231 S AVENUE M,41.70942660900005,-87.53768928499994,census
10,Sidewalk Menu,10232 S AVENUE N,2021,16621.72,7948,10232 S AVENUE N,41.7090274,-87.5392854,google
7,Miscellaneous CDOT Projects,10245 S OGLESBY AVE,2020,13758.19,5366,10245 S OGLESBY AVE,41.70925822700008,-87.56572481799998,census
25,Sidewalk Menu,1025 W 16TH ST,2016,1760.75,20658,1025 W 16TH ST,NA,NA,census
25,Sidewalk Menu,1025 W 16TH ST,2017,61497.61,20688,1025 W 16TH ST,NA,NA,census
10,Sidewalk Menu,10251 S EWING AVE,2015,7260,7721,10251 S EWING AVE,41.70911975900003,-87.53527735299997,census
10,Sidewalk Menu,10253 S COMMERCIAL AVE,2020,8416.75,7906,10253 S COMMERCIAL AVE,41.70921100500004,-87.55256444999998,census
10,Sidewalk Menu,10254 S AVENUE G,2021,7252.28,40694,10254 S AVENUE G,41.70874648400007,-87.53166610199997,census
10,Sidewalk Menu,10256 S AVENUE M,2022,18477.15,8010,10256 S AVENUE M,41.70901987700006,-87.53770397299996,census
10,Sidewalk Menu,10258 S AVENUE G,2021,7252.28,40693,10258 S AVENUE G,41.708707066000045,-87.53166610199997,census
10,Sidewalk Menu,10258 S AVENUE L,2022,3275.21,8011,10258 S AVENUE L,41.70899033300003,-87.53649730299998,census
48,Curb & Gutter Menu,1026 W AINSLIE ST,2020,9121.14,38962,1026 W AINSLIE ST,41.971574813000075,-87.65571090399999,census
1,Sidewalk Menu,1027 N HERMITAGE AVE,2019,2702.48,824,1027 N HERMITAGE AVE,41.90060959500005,-87.67107903199997,census
44,Street Light Upgrade Menu,1028 W NEWPORT AVE,2017,500,43127,1028 W NEWPORT AVE,41.944464882000034,-87.65569157099998,census
44,Alley Apron Menu,1028 W WOLFRAM ST,2017,10119.55,35810,1028 W WOLFRAM ST,41.93353931100006,-87.65463881799997,census
43,Miscellaneous CDOT Projects,1029 W ALTGELD ST,2018,616.190476190476,43026,1029 W ALTGELD ST,41.92717461600006,-87.65451320699998,census
19,Miscellaneous-CDOT,103 rd St. & Claremont SEX,2005,3013,15273,103 rd St. & Claremont SEX,41.7063415,-87.6804073,google
10,Sidewalk Menu,10300 S EWING AVE,2019,2725.5,40685,10300 S EWING AVE,41.70815715200007,-87.53529465999998,census
10,Bollard Menu,10300 S TORRENCE AV,2009,2520,7427,10300 S TORRENCE AV,41.70802707300004,-87.55966541999999,census
10,Sidewalk Menu,10301 S AVENUE G,2017,8567.24,7787,10301 S AVENUE G,41.70807426600004,-87.53165141499994,census
42,Street Light Pole Painting Menu,1031 N STATE ST,2017,3600,34135,1031 N STATE ST,NA,NA,census
43,Miscellaneous CDOT Projects,1031 W ALTGELD ST,2018,616.190476190476,43034,1031 W ALTGELD ST,41.92717413300005,-87.65454310899997,census
34,Bollard Menu,10314 S EMERALD AV,2008,1428,27388,10314 S EMERALD AV,41.70618738100006,-87.64160111399997,census
19,Alley Speed Hump Menu,10315 S CAMPBELL AVE,2022,350,41322,10315 S CAMPBELL AVE,41.7058797,-87.6838231,google
34,Alley Apron Menu,10317 S UNION AVE,2019,35326.55,27969,10317 S UNION AVE,41.7063922,-87.6401135,google
10,Sidewalk Menu,10319 S AVENUE H,2017,6046.4,7796,10319 S AVENUE H,41.707792392000044,-87.53286140099999,census
9,Sidewalk Menu,10319 S FOREST AVE,2018,2717.36,6774,10319 S FOREST AVE,41.706504978000055,-87.61617667099995,census
44,Street Light Upgrade Menu,1032 W NEWPORT AVE,2017,500,43130,1032 W NEWPORT AVE,41.94446359600005,-87.65577486299998,census
10,Sidewalk Menu,10326 S AVENUE J,2020,8700.41,7914,10326 S AVENUE J,41.70766697200003,-87.53408607399996,census
10,Sidewalk Menu,10331 S AVENUE H,2021,6127.74,7949,10331 S AVENUE H,41.70760426100003,-87.53286140099999,census
9,Sidewalk Menu,10337 S FOREST AVE,2019,4406,6807,10337 S FOREST AVE,41.706293490000064,-87.61617077299996,census
46,Curb & Gutter Menu,1034 W MONTROSE AVE,2018,1888.14,37150,1034 W MONTROSE AVE,41.96176849200003,-87.65587742899999,census
34,Curb & Gutter Menu,10344 S SANGAMON ST,2016,18508.7,27863,10344 S SANGAMON ST,41.70579423700008,-87.64645224799995,census
10,Sidewalk Menu,10348 S AVENUE J,2022,1220.83,8012,10348 S AVENUE J,41.70732206500003,-87.53408607399996,census
37,Curb & Gutter Menu,1035 N LATROBE AVE,2016,8282.78,30275,1035 N LATROBE AVE,41.89925808900006,-87.75692587999998,census
21,Sidewalk Menu,1035 W 92ND PL,2019,3882.93,17247,1035 W 92ND PL,41.7257021,-87.6495795,google
19,Street Light Upgrade,10352 S FAIRFIELD AVE,2013,400,15610,10352 S FAIRFIELD AVE,41.70536119800005,-87.68981408999997,census
19,POD Camera,10354 S Charles,2006,24000,41317,10354 S Charles,41.70549105400005,-87.65811608799999,census
34,Guardrail Menu,10358 S LOWE AV,2006,2080,27247,10358 S LOWE AV,41.70582092500007,-87.63916682099995,census
44,Sidewalk Menu,1036 W WAVELAND AVE,2019,40783.53,35904,1036 W WAVELAND AVE,41.94902452700006,-87.65589203099995,census
43,Miscellaneous CDOT Projects,1039 W ALTGELD ST,2018,616.190476190476,43035,1039 W ALTGELD ST,41.92717255700006,-87.65464045099998,census
46,Sidewalk Menu,1039 W LAWRENCE AVE,2017,3164.77,37133,1039 W LAWRENCE AVE,41.969063678000055,-87.65637359899995,census
10,POD Camera,104 th Ave 'M',2007,36000,40648,104 th Ave 'M',41.7063854,-87.5377021,google
9,POD Camera,104 th Place & Corliss,2009,24000,6523,104 th Place & Corliss,41.7047084,-87.6039277,google
42,Sidewalk Menu,1040 N LAKE SHORE DR,2017,1599.17,34131,1040 N LAKE SHORE DR,41.90168944900006,-87.62429318899996,census
29,Curb & Gutter Menu,1040 S MONITOR AVE,2021,5349.11,23666,1040 S MONITOR AVE,41.868382567000026,-87.77055261499999,census
48,Alley Apron Menu,1040 W AINSLIE ST,2017,5834.9,38751,1040 W AINSLIE ST,41.97157281300008,-87.65581490899996,census
44,Street Light Upgrade Menu,1040 W NEWPORT AVE,2017,500,43128,1040 W NEWPORT AVE,41.94446102300003,-87.65594144699998,census
44,Miscellaneous CDOT Projects,1040 W NEWPORT AVE,2019,582.5,43173,1040 W NEWPORT AVE,41.94446102300003,-87.65594144699998,census
11,Sidewalk Menu,1041 W 31ST PL,2022,5710.91,8774,1041 W 31ST PL,41.837049222000076,-87.65247156299995,census
10,Sidewalk Menu,10414 S EWING AVE,2019,22300,7870,10414 S EWING AVE,41.70603007400007,-87.53529203999994,census
48,Alley Apron Menu,1042 W GLENLAKE AVE,2017,8771.51,38763,1042 W GLENLAKE AVE,41.99233008900006,-87.65788966399998,census
43,Alley Apron Menu,1042 W MONTANA ST,2019,10338.69,35145,1042 W MONTANA ST,41.92633234500005,-87.65480969299995,census
44,Street Light Upgrade Menu,1042 W NEWPORT AVE,2017,500,43129,1042 W NEWPORT AVE,41.944460380000066,-87.65598309299997,census
19,Street Light Upgrade,10420 S LEAVITT ST,2012,350,15578,10420 S LEAVITT ST,41.70415859800005,-87.67672009699999,census
9,Sidewalk Menu,10425 S FOREST AVE,2021,5846.26,6871,10425 S FOREST AVE,41.704933941000036,-87.61613281299998,census
7,Alley Resurfacing Menu,10426 S OGLESBY AVE,2019,9170.1,5325,10426 S OGLESBY AVE,41.70606066200003,-87.56569470499994,census
19,POD Camera,10431 W Longwood,2007,12000,41318,10431 W Longwood,41.7033598,-87.6702879,google
10,Sidewalk Menu,10436 S AVENUE J,2021,4821.48,7950,10436 S AVENUE J,41.705681147000064,-87.53408607399996,census
10,Sidewalk Menu,10446 S AVENUE M,2022,1875.02,8014,10446 S AVENUE M,41.70553219000004,-87.53771017499997,census
10,Sidewalk Menu,10449 S AVENUE F,2016,10610.91,7753,10449 S AVENUE F,41.705485046000035,-87.53044142899995,census
26,Street Speed Hump Menu,1045 NSACRAMENTO AVE,2021,1175,41837,1045 NSACRAMENTO AVE,41.9007907,-87.7015545,google
44,Alley Apron Menu,1045 W BARRY AVE,2022,11002.56,35966,1045 W BARRY AVE,41.938061066000046,-87.65581286599996,census
46,Alley Apron Menu,1045 W IRVING PARK RD,2017,10532.9,37113,1045 W IRVING PARK RD,41.95445478900007,-87.65622593499995,census
34,Sidewalk Menu,10457 S EMERALD AVE,2022,7896.13,28076,10457 S EMERALD AVE,41.703949538000074,-87.64151737699996,census
10,Sidewalk Menu,10458 S AVENUE H,2019,15405,7875,10458 S AVENUE H,41.70533390600008,-87.53287356699997,census
9,Sidewalk Menu,10458 S CALUMET AVE,2020,8545.405,40633,10458 S CALUMET AVE,41.70439899300004,-87.61491583099996,census
43,Miscellaneous CDOT Projects,1046 W MONTANA ST,2018,616.190476190476,43027,1046 W MONTANA ST,41.926331652000044,-87.65485142599994,census
48,Sidewalk Menu,1049 W BRYN MAWR AVE,2022,4316.01,39036,1049 W BRYN MAWR AVE,41.98367568300006,-87.65678324999999,census
4,Sidewalk Menu,1050 E 49TH ST,2016,5525.57,3424,1050 E 49TH ST,41.806192,-87.5996746,google
27,Street Resurfacing Menu,1050 N CENTRAL PARK AVE,2016,6213.85,22144,1050 N CENTRAL PARK AVE,41.86841203900008,-87.71548792299996,census
27,Street Speed Hump Menu,1050 N CENTRAL PARK AVE,2017,3700,22189,1050 N CENTRAL PARK AVE,41.86841203900008,-87.71548792299996,census
49,Chicago Park District,1050 W ALBION AVE,2014,75000,39428,1050 W ALBION AVE,42.00259459700004,-87.65836068099998,census
49,Sidewalk Menu,1050 W COLUMBIA AVE,2018,7981.58,39610,1050 W COLUMBIA AVE,42.00466252200005,-87.65809840399999,census
9,POD Camera,10500 S. State,2009,24000,6519,10500 S. State,41.7033704,-87.623673,google
10,Concrete Alley Menu,10501 S AVENUE E,2019,188000,7862,10501 S AVENUE E,41.704399124000076,-87.52923144299996,census
10,Sidewalk Menu,10501 S AVENUE L,2022,7942.58,8015,10501 S AVENUE L,41.70442453100003,-87.53648331999995,census
10,Sidewalk Menu,10505 S EWING AVE,2016,21886.33,7767,10505 S EWING AVE,41.704357851000054,-87.53527505699998,census
10,Sidewalk Menu,10507 S AVENUE L,2016,10964.81,7757,10507 S AVENUE L,41.704330465000055,-87.53648331999995,census
37,Sidewalk Menu,1051 N CENTRAL AVE,2016,1117,30278,1051 N CENTRAL AVE,41.8999768,-87.7652538,google
43,Miscellaneous CDOT Projects,1051 W MONTANA ST,2018,616.190476190476,43017,1051 W MONTANA ST,41.92630782600003,-87.65553797699994,census
10,Sidewalk Menu,10511 S AVENUE F,2016,3017.89,7754,10511 S AVENUE F,41.70424565700006,-87.53044142899995,census
34,Sidewalk Menu,10519 S PARNELL AVE,2021,10224.12,28033,10519 S PARNELL AVE,41.70292448500004,-87.63664956899999,census
48,Alley Apron Menu,1052 W THORNDALE AVE,2017,10624.98,38760,1052 W THORNDALE AVE,41.9901966,-87.6576077,google
27,Alley Resurfacing Menu,1053 N ORLEANS ST,2017,13862.175,41893,1053 N ORLEANS ST,41.90158471500007,-87.63735645599996,census
48,Alley Apron Menu,1053 W THORNDALE AVE,2017,8130.21,38761,1053 W THORNDALE AVE,41.99006133100005,-87.65774451499999,census
11,Sidewalk Menu,1054 W 34TH PL,2022,2173.56,8775,1054 W 34TH PL,41.83159096300005,-87.65258972699996,census
48,Curb & Gutter Menu,1054 W BERWYN AVE,2020,11256.855,43475,1054 W BERWYN AVE,41.9781847,-87.6571569,google
10,Sidewalk Menu,10546 S AVENUE G,2022,4359.86,8016,10546 S AVENUE G,41.703683470000044,-87.53166208099998,census
48,Street Lighting,1055 W BRYN MAWR AVE,2011,500,38539,1055 W BRYN MAWR AVE,41.983674826000026,-87.65684234699995,census
48,Sidewalk Menu,1055 W BRYN MAWR AVE,2019,3342.29,38924,1055 W BRYN MAWR AVE,41.983674826000026,-87.65684234699995,census
10,Sidewalk Menu,10554 S AVENUE F,2020,4739.12,7907,10554 S AVENUE F,41.70432733200005,-87.52649467199996,census
10,Bollard Menu,10556 S AVENUE B,2008,1428,7380,10556 S AVENUE B,41.70432034600003,-87.52649479899998,census
9,Bollard Menu,10557 DR. MARTIN LUTHER KING JR. DR,2008,714,6444,10557 DR. MARTIN LUTHER KING JR. DR,41.701995,-87.613296,google
34,Alley Apron Menu,10558 S PEORIA ST,2022,36512.5,28066,10558 S PEORIA ST,41.70218402300003,-87.64512272299999,census
29,Curb & Gutter Menu,1056 N MAYFIELD AVE,2019,6244.77,42045,1056 N MAYFIELD AVE,41.9000835,-87.773187,google
43,Sidewalk Menu,1056 W ARMITAGE AVE,2021,3430.79,43078,1056 W ARMITAGE AVE,41.9182198,-87.6555965,google
27,Alley Resurfacing Menu,1057 N RIDGEWAY AVE,2015,44161,22078,1057 N RIDGEWAY AVE,41.900117572000056,-87.72011804299996,census
17,Miscellaneous CDOT Projects,1057 W 79TH ST,2022,150,14423,1057 W 79TH ST,41.7502913,-87.6510087,google
37,Sidewalk Menu,1058 N KEYSTONE AVE,2017,3941.2,30319,1058 N KEYSTONE AVE,41.90005625200007,-87.72745886999996,census
37,Sidewalk Menu,1058 N KEYSTONE AVE,2018,804.8,30347,1058 N KEYSTONE AVE,41.90005625200007,-87.72745886999996,census
21,Sidewalk Menu,1058 W 92ND PL,2021,6120.3,17323,1058 W 92ND PL,41.7262004,-87.6504533,google
29,Curb & Gutter Menu,1059 N MAYFIELD AVE,2019,5163.43666666667,42049,1059 N MAYFIELD AVE,41.9001081,-87.7725689,google
21,Sidewalk Menu,1059 W 92ND PL,2022,9522.48,17382,1059 W 92ND PL,41.7256919,-87.6504477,google
10,Miscellaneous-CDOT,106 th & Ewing,2007,39000,7293,106 th & Ewing,41.7027328,-87.5352922,google
19,Chicago Park District,106 th & Western,2005,150000,15316,106 th & Western,41.7009119,-87.6813835,google
10,Sidewalk Menu,10600 S AVENUE G,2017,14938.86,7789,10600 S AVENUE G,41.70257264900005,-87.53166208099998,census
10,Sidewalk Menu,10609 S AVENUE G,2019,6579,7868,10609 S AVENUE G,41.70244833100003,-87.53164739599998,census
10,Sidewalk Menu,10613 S AVENUE D,2021,2981.27,7951,10613 S AVENUE D,41.70203759000003,-87.52816617299999,census
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,2899,7830,10614 S MACKINAW AVE,41.70202385400006,-87.54256803599998,census
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,9093,7842,10614 S MACKINAW AVE,41.70202385400006,-87.54256803599998,census
34,Curb & Gutter Menu,10614 S MARTIN ST,2021,4882.97,28027,10614 S MARTIN ST,41.700670126000034,-87.65599672199994,census
9,Traffic Signal Miscellaneous Menu,10616 S EDBROOKE AVE,2016,141,6732,10616 S EDBROOKE AVE,41.70172540300007,-87.61967879799994,census
9,Street Lighting,10618 S DAUPHIN AVE,2011,300,6562,10618 S DAUPHIN AVE,41.70120027100006,-87.60888813199995,census
10,Sidewalk Menu,10621 S MACKINAW AVE,2018,7715,7841,10621 S MACKINAW AVE,41.70195501000006,-87.54255334999993,census
10,Sidewalk Menu,10626 S AVENUE O,2021,2098.04,7952,10626 S AVENUE O,41.70206512500005,-87.54009890899994,census
10,Sidewalk Menu,10627 S AVENUE F,2017,3933.81,7791,10627 S AVENUE F,41.70216057600004,-87.53044142899995,census
34,Sidewalk Menu,10636 S PEORIA ST,2016,1582.375,42540,10636 S PEORIA ST,41.70072830000004,-87.64507711399995,census
9,Bollard Menu,10645 S INDIANA AV,2008,714,6445,10645 S INDIANA AV,41.70114248800007,-87.61846564199999,census
34,Sidewalk Menu,10656 S PEORIA ST,2016,1582.375,42541,10656 S PEORIA ST,41.700418187000025,-87.64506792499998,census
48,Sidewalk Menu,1066 W AINSLIE ST,2017,18748.49,38803,1066 W AINSLIE ST,41.97156933300005,-87.65599584899996,census
34,Sidewalk Menu,10700 S EMERALD AVE,2018,12562.83,27946,10700 S EMERALD AVE,41.699090812000065,-87.64138140499995,census
10,Sidewalk Menu,10700 S GREEN BAY AVE,2017,12768.17,7794,10700 S GREEN BAY AVE,41.700811886000054,-87.54134872299994,census
10,Sidewalk Menu,10701 S AVENUE M,2022,7906,8019,10701 S AVENUE M,41.70078781900003,-87.53768928699998,census
10,Sidewalk Menu,10718 S MACKINAW AVE,2018,5180.5,40658,10718 S MACKINAW AVE,41.70052817800007,-87.54256777799998,census
10,Sidewalk Menu,10721 S HOXIE AVE,2019,652,7885,10721 S HOXIE AVE,41.70050924700007,-87.56076641499999,census
10,Sidewalk Menu,10726 S AVENUE F,2019,9189,7871,10726 S AVENUE F,41.70034640400007,-87.53045680799994,census
