ward,item,location,cost
4,Alley Resurfacing Menu (2020),E 43RD ST &  S BERKELEY AVE&S GREENWOOD AVE &  E 44TH ST,"$10,247.71"
4,Alley Resurfacing Menu (2020),E 49TH ST &  S COTTAGE GROVE AVE&S DREXEL BLVD &  E 50TH ST; 834 E 50TH ST,"$30,034.49"
4,Alley Speed Hump Replacement (2020),933 E 50TH ST; E 50TH ST &  S DREXEL BLVD&S ELLIS AVE &  E HYDE PARK BLVD,$0.00
4,Alley Speed Hump Replacement (2020),E 49TH ST &  S COTTAGE GROVE AVE&S DREXEL BLVD &  E 50TH ST; 834 E 50TH ST,$0.00
4,Concrete Alley Menu (2020),E 46TH ST &  S CHAMPLAIN AVE&S EVANS AVE &  E 45TH ST,"$27,675.66"
4,Concrete Alley Menu (2020),S VINCENNES AVE &  E OAKWOOD BLVD&E PERSHING RD &  S LANGLEY AVE,"$320,000.00"
4,Miscellaneous CDOT Projects (2020),4600 S LANGLEY AVE,$450.00
4,Miscellaneous CDOT Projects (2020),4734 S INGLESIDE AVE,$150.00
4,Miscellaneous CDOT Projects (2020),738 E 47TH ST,$150.00
4,Pavement Markings Menu (2020),W HARRISON ST &  S PLYMOUTH CT,"$5,000.00"
4,Speed Indicator Signs (2020),ON S DR MARTIN LUTHER KING JR DR FROM E 35TH ST  (3500 S) TO E 37TH ST  (3700 S),"$25,000.00"
4,Street Bump Outs Menu (2020),S FORRESTVILLE AVE &  E 43RD ST,"$31,552.50"
4,Street Light Pole for High Definition Camera Menu (2020),S OAKENWALD AVE &  E 41ST ST; S OAKENWALD AVE &  E 40TH PL,"$10,500.00"
4,Street Light Upgrade Menu (2020),4100 S ELLIS AVE,"$3,500.00"
4,Street Light Upgrade Menu (2020),632 W 41ST ST,"$4,500.00"
4,Street Resurfacing Menu (1-5) (2020),ON E 49TH ST FROM S VINCENNES AVE  (499 E) TO S FORRESTVILLE AVE  (540 E),"$36,012.60"
4,Street Resurfacing Menu (1-5) (2020),ON S KENWOOD AVE FROM E 52ND ST  (5200 S) TO E 53RD ST  (5300 S),"$59,151.45"
4,Street Resurfacing Menu (1-5) (2020),ON S VERNON AVE FROM E 31ST PL  (3120 S) TO E 32ND ST  (3200 S),"$49,280.78"
4,Street Resurfacing Menu (1-5) (2020),ON S WOODLAWN AVE FROM E 44TH PL  (4440 S) TO E 46TH ST  (4625 S),"$111,396.30"
4,Street Resurfacing Menu (2020),ON E 11TH ST FROM S STATE ST  (0 E) TO S WABASH AVE  (40 E),"$7,751.63"
4,Street Resurfacing Menu (2020),ON E 32ND ST FROM S RHODES AVE  (500 E) TO S ELLIS AVE  (699 E),"$30,388.47"
4,Street Resurfacing Menu (2020),ON E 36TH ST FROM S COTTAGE GROVE AVE  (700 E) TO S LAKE PARK AVE  (799 E),"$51,903.47"
4,Street Resurfacing Menu (2020),ON E 41ST ST FROM S DREXEL BLVD  (900 E) TO S LAKE PARK AVE  (1050 E),"$63,026.61"
4,Street Resurfacing Menu (2020),ON E 48TH ST FROM S COTTAGE GROVE AVE  (800 E) TO S DREXEL BLVD  (900 E),"$49,281.87"
4,Street Resurfacing Menu (2020),ON E 49TH ST FROM S DR MARTIN LUTHER KING JR DR  (380 E) TO S VINCENNES AVE  (499 E),"$9,969.33"
4,Street Resurfacing Menu (2020),ON S GREENWOOD AVE FROM S LAKE PARK AVE  (4300 S) TO E 43RD ST  (4300 S),"$22,436.10"
4,Street Resurfacing Menu (2020),ON S PRAIRIE AVE FROM E 26TH ST  (2600 S) TO E 29TH ST  (2900 S),"$46,136.51"
4,Street Resurfacing Menu (2020),ON S ST LAWRENCE AVE FROM E 49TH ST  (4900 S) TO E 50TH ST  (5000 S),"$71,370.78"
4,Street Resurfacing Menu (2020),ON S VERNON AVE FROM E 31ST ST  (3100 S) TO E 31ST PL  (3120 S),"$26,532.47"
4,Street Resurfacing Menu (2020),ON S WOODLAWN AVE FROM E 46TH ST  (4600 S) TO E 47TH ST  (4700 S),"$61,646.73"
5,Alley Resurfacing Menu (2020),S SHORE DR &  E 55TH DR&E 55TH ST &  S EVERETT AVE,"$24,048.41"
5,Sidewalk Menu (2020),ON S CORNELL AVE FROM E 49TH DR  (4857 S) TO E 50TH ST  (5000 S),"$9,824.80"
5,Street Bump Outs Menu (2020),S EVERETT AVE &  E 56TH ST; 1700 E 56TH ST,"$13,299.51"
5,Street Light Arterial Menu (2020),ON S WOODLAWN AVE FROM E 71ST ST  (7100 S) TO E 73RD ST  (7300 S),"$370,000.00"
5,Street Light Residential Staggered Piggy Back Menu (2020),ON E 72ND PL FROM S EUCLID AVE  (1930 E) TO S JEFFERY BLVD  (2000 E); ON S EUCLID AVE FROM E 71ST ST  (7100 S) TO E 73RD ST  (7300 S),"$290,000.00"
5,Street Light Residential Staggered Piggy Back Menu (2020),ON S MERRILL AVE FROM E 72ND ST  (7200 S) TO E 74TH ST  (7400 S),"$210,000.00"
5,Street Resurfacing Menu (1-5) (2020),ON S DREXEL AVE FROM E 54TH ST  (5400 S) TO E 55TH ST  (5487 S),"$61,791.06"
5,Street Resurfacing Menu (1-5) (2020),ON S RICHARDS DR FROM E HAYES DR  (6300 S) TO E MARQUETTE DR  (6600 S),"$248,690.47"
5,Street Resurfacing Menu (2020),ON E 53RD ST FROM S CORNELL AVE  (1640 E) TO S HYDE PARK BLVD  (1700 E),"$39,509.02"
5,Street Resurfacing Menu (2020),ON S DORCHESTER AVE FROM E MARQUETTE RD  (6600 S) TO E 66TH PL  (6630 S),"$18,979.51"
5,Street Resurfacing Menu (2020),ON S HARPER AVE FROM E 77TH ST  (7700 S) TO S SOUTH CHICAGO AVE  (7799 S),"$33,857.21"
5,Street Speed Hump Replacement (2020),ON S DREXEL AVE FROM E 54TH ST  (5400 S) TO E 55TH ST  (5487 S),$0.00
6,1 POD Camera: 7527 S. Prairie Ave,7527 S PRAIRIE AVE,"$24,776.00"
6,ADA - Street Resurfacing Menu (2020),ON S PRAIRIE AVE FROM E 74TH ST  (7400 S) TO E 75TH ST  (7500 S),"$8,052.52"
6,Alley Speed Hump Menu (2020),E 87TH ST &  S MICHIGAN AVE&S INDIANA AVE &  E 86TH ST; 110-112 E 87TH ST,"$1,400.00"
6,Curb & Gutter Menu (2020),ON S CALUMET AVE FROM E 74TH ST  (7400 S) TO E 75TH ST  (7500 S),"$39,198.59"
6,Sidewalk Menu (2020),203 E 75TH ST,"$28,419.95"
6,Sidewalk Menu (2020),7030-7058 S HALSTED ST,"$43,196.21"
6,Sidewalk Menu (2020),7134 S PRAIRIE AVE,"$5,980.16"
6,Sidewalk Menu (2020),7348 S PRAIRIE AVE,"$4,315.77"
6,Sidewalk Menu (2020),7433 S STATE ST,"$32,701.33"
6,Sidewalk Menu (2020),7648-7658 S MICHIGAN AVE,"$9,624.93"
6,Sidewalk Menu (2020),7822 S LOWE AVE,"$3,816.40"
6,Sidewalk Menu (2020),8042 S INDIANA AVE,"$3,657.40"
6,Sidewalk Menu (2020),8100 S CHAMPLAIN AVE,"$2,876.77"
6,Sidewalk Menu (2020),8359 S VERNON AVE,"$18,065.01"
6,Street Bump Outs Menu (2020),E 77TH ST &  S STATE ST,"$16,178.08"
6,Street Bump Outs Menu (2020),E 78TH ST &  S STATE ST,"$12,607.25"
6,Street Resurfacing Menu (1-5) (2020),ON S HARVARD AVE FROM W 72ND ST  (7200 S) TO W 75TH ST  (7500 S),"$130,485.20"
6,Street Resurfacing Menu (1-5) (2020),ON S INDIANA AVE FROM E 85TH ST  (8500 S) TO E 86TH ST  (8600 S),"$79,325.92"
6,Street Resurfacing Menu (1-5) (2020),ON S PRAIRIE AVE FROM E 84TH ST  (8400 S) TO E 85TH ST  (8500 S),"$61,751.78"
6,Street Resurfacing Menu (2020),ON E 72ND ST FROM S CHAMPLAIN AVE  (630 E) TO S LANGLEY AVE  (700 E),"$47,272.53"
6,Street Resurfacing Menu (2020),ON E 74TH ST FROM S DR MARTIN LUTHER KING JR DR  (400 E) TO S VERNON AVE  (430 E),"$34,259.02"
6,Street Resurfacing Menu (2020),ON E 74TH ST FROM S EBERHART AVE  (500 E) TO S ST LAWRENCE AVE  (600 E),"$60,887.67"
6,Street Resurfacing Menu (2020),ON E 80TH ST FROM S EVANS AVE  (730 E) TO S COTTAGE GROVE AVE  (800 E),"$23,830.82"
6,Street Resurfacing Menu (2020),ON E 82ND ST FROM S STATE ST  (0 E) TO S WABASH AVE  (40 E),"$42,236.74"
6,Street Resurfacing Menu (2020),ON S CALUMET AVE FROM E 83RD ST  (8300 S) TO E 85TH ST  (8500 S),"$140,378.20"
6,Street Resurfacing Menu (2020),ON S CHAMPLAIN AVE FROM E 77TH ST  (7700 S) TO E 78TH ST  (7800 S),"$62,056.82"
6,Street Resurfacing Menu (2020),ON S EBERHART AVE FROM E 82ND ST  (8200 S) TO E 83RD ST  (8300 S),"$50,763.47"
6,Street Resurfacing Menu (2020),ON S EMERALD AVE FROM W 76TH ST  (7600 S) TO W 79TH ST  (7900 S),"$96,989.37"
6,Street Resurfacing Menu (2020),ON S PRAIRIE AVE FROM E 74TH ST  (7400 S) TO E 75TH ST  (7500 S),"$74,778.12"
6,Street Resurfacing Menu (2020),ON S RHODES AVE FROM E 83RD ST  (8300 S) TO E 85TH ST  (8500 S),"$129,532.38"
6,Street Resurfacing Menu (2020),ON W 74TH ST FROM S PRINCETON AVE  (300 W) TO S HARVARD AVE  (330 W),"$25,885.58"
6,Street Speed Hump Menu (2020),ON S LANGLEY AVE FROM E 80TH ST  (8000 S) TO E 81ST ST  (8100 S),"$4,700.00"
6,Street Speed Hump Replacement (2020),ON S EMERALD AVE FROM W 76TH ST  (7600 S) TO W 79TH ST  (7900 S),$0.00
6,Street Speed Hump Replacement (2020),ON S HARVARD AVE FROM W 72ND ST  (7200 S) TO W 75TH ST  (7500 S),$0.00
6,Street Speed Hump Replacement (2020),ON S INDIANA AVE FROM E 85TH ST  (8500 S) TO E 86TH ST  (8600 S),$0.00
7,Alley Resurfacing Menu (2020),S MERRILL AVE &  E 92ND ST&E 93RD ST &  S CLYDE AVE; 9242 S MERRILL AVE,"$22,601.07"
7,Curb & Gutter Menu (2020),ON E 90TH ST FROM S MERRILL AVE  (2130 E) TO S OGLESBY AVE  (2330 E),"$201,586.18"
7,Miscellaneous CDOT Projects (2020),10245 S OGLESBY AVE,"$13,758.19"
7,Miscellaneous CDOT Projects (2020),2305-2331 E 75TH ST,$450.00
7,Miscellaneous CDOT Projects (2020),2445 E 74TH ST,$150.00
7,Miscellaneous CDOT Projects (2020),2618 E 87TH ST,$300.00
7,Miscellaneous CDOT Projects (2020),2719 E 75TH PL,$150.00
