ward,item,location,cost
2,1 LPR/Existing Camera - NE Michigan Ave and Superior,N MICHIGAN AVE &  E SUPERIOR ST,"$10,971.00"
2,1 LPR/Existing Camera - NW Division St at State,W DIVISION ST &  N STATE ST,"$10,971.00"
2,1 LPR/Existing Camera - SE Sedgwick and Evergreen,N SEDGWICK ST &  W EVERGREEN AVE,"$10,971.00"
2,1 LPR/Existing Camera - SW LaSalle St at Chicago,N LA SALLE DR &  W CHICAGO AVE,"$10,971.00"
2,1 POD Camera NW Corner 958 N Dearborn,958 N DEARBORN ST,"$24,776.00"
2,1 POD Camera NW Corner of State and Goethe,N STATE PKWY &  W GOETHE ST,"$24,776.00"
2,1 PTZ Camera - NE Lake Shore Drive at E Pearson,E PEARSON ST &  N LAKE SHORE DR,"$24,776.00"
2,1 PTZ Camera - NW 1100 N State,1100 N STATE ST,"$24,776.00"
2,1 PTZ Camera - NW Maple and State,N STATE ST &  W MAPLE ST,"$24,776.00"
2,2 Tennis Court Resurfacing - 808 N Lake Shore Drive,808 N LAKE SHORE DR,"$50,000.00"
2,Alley Apron Menu (2022),2140 W LE MOYNE ST,"$14,868.18"
2,Alley Resurfacing Menu (2022),N RACINE AVE &  W WEBSTER AVE&W DICKENS AVE &  N MAGNOLIA AVE,"$34,750.00"
2,Alley Resurfacing Menu (2022),N SOUTHPORT AVE &  W FULLERTON AVE&W ALTGELD ST &  N JANSSEN AVE,"$41,551.85"
2,Alley Resurfacing Menu (2022),N WINCHESTER AVE &  W THOMAS ST&W AUGUSTA BLVD &  N WOLCOTT AVE,"$38,827.00"
2,Alley Resurfacing Menu (2022),W CHICAGO AVE &  N CLARK ST&N DEARBORN ST &  W CHESTNUT ST,"$26,207.50"
2,Alley Resurfacing Menu (2022),W NORTH AVE &  N CLEVELAND AVE&N HUDSON AVE &  W BLACKHAWK ST; 455 W NORTH AVE,"$33,277.44"
2,Alley Speed Hump Menu (2022),N HOYNE AVE &  W HADDON AVE&W THOMAS ST &  N LEAVITT ST,"$2,100.00"
2,Alley Speed Hump Replacement (2022),W CHICAGO AVE &  N CLARK ST&N DEARBORN ST &  W CHESTNUT ST,$0.00
2,Alley Speed Hump Replacement (2022),W NORTH AVE &  N CLEVELAND AVE&N HUDSON AVE &  W BLACKHAWK ST; 455 W NORTH AVE,$0.00
2,Clover Park Pickle Ball Court Installation,2110 N SOUTHPORT AVE,"$40,000.00"
2,Curb & Gutter Menu (2022),2501 N WAYNE AVE,"$45,000.00"
2,Curb & Gutter Menu (2022),ON W CHICAGO AVE FROM N CLARK ST  (100 W) TO N LA SALLE DR  (140 W); 115 W CHICAGO AVE,"$20,369.04"
2,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2022)",N CLARK ST &  W GERMANIA PL,$350.00
2,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2022)",N MICHIGAN AVE &  E CHESTNUT ST,$350.00
2,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2022)",W FULLERTON AVE &  N SURREY CT,$350.00
2,Lake Shore Park Outdoor Fitness Center,808 N LAKE SHORE DR,"$25,000.00"
2,Miscellaneous CDOT Projects (2022),808 N LAKE SHORE DR,"$38,234.16"
2,Miscellaneous CDOT Projects (2022),861 N STATE ST,$660.00
2,Miscellaneous CDOT Projects (2022),ON E CHICAGO AVE FROM N MICHIGAN AVE  (140 E) TO N MIES VAN DER ROHE WAY  (230 E),"$202,788.88"
2,Miscellaneous CDOT Projects (2022),ON W DIVISION ST FROM N STATE ST  (1 E) TO N DEARBORN ST  (40 W),"$40,000.00"
2,Miscellaneous CDOT Projects (2022),W CHICAGO AVE &  N KINGSBURY ST,$660.00
2,Sidewalk Menu (2022),1941 N CLYBOURN AVE,"$14,878.86"
2,Street Light Arterial Menu (2022),ON N STATE PKWY FROM E DIVISION ST  (1199 N) TO E NORTH AVE  (1600 N),"$150,000.00"
2,Street Light Pole for High Definition Camera Menu (2022),1300 N CLEVELAND AVE,"$3,500.00"
2,Street Light Pole for High Definition Camera Menu (2022),1300 N STATE PKWY; N STATE PKWY &  E GOETHE ST,"$3,000.00"
2,Street Light Upgrade Menu (2022),W PEARSON ST &  N STATE ST,$750.00
2,Street Resurfacing Menu (2022),ON E CHESTNUT ST FROM N MIES VAN DER ROHE WAY  (200 E) TO N DEWITT PL  (250 E),"$37,055.76"
2,Street Resurfacing Menu (2022),ON N FREMONT ST FROM W BLACKHAWK ST  (1500 N) TO W NORTH AVE  (1600 N),"$46,586.96"
2,Street Resurfacing Menu (2022),ON N JANSSEN AVE FROM W WEBSTER AVE  (2200 N) TO W ALTGELD ST  (2500 N),"$154,128.07"
2,Street Resurfacing Menu (2022),ON N MAGNOLIA AVE FROM W DICKENS AVE  (2100 N) TO W WEBSTER AVE  (2200 N),"$55,511.13"
2,Street Resurfacing Menu (2022),ON N SEDGWICK ST FROM W NORTH AVE  (1600 N) TO W EUGENIE ST  (1700 N),"$57,304.89"
2,Street Resurfacing Menu (2022),ON N WAYNE AVE FROM W WEBSTER AVE  (2200 N) TO W BELDEN AVE  (2300 N),"$57,366.37"
2,Street Resurfacing Menu (2022),ON W GOETHE ST FROM N WELLS ST  (200 W) TO N CLARK ST  (100 W),"$54,309.65"
2,Street Speed Hump Menu (2022),ON N CLEVELAND AVE FROM W GOETHE ST  (1260 N) TO W NORTH AVE  (1600 N),"$9,400.00"
2,Street Speed Hump Menu (2022),ON N STATE PKWY FROM W SCHILLER ST  (1400 N) TO W BURTON PL  (1500 N),"$2,350.00"
2,Street Speed Hump Menu (2022),ON W ALTGELD ST FROM N JANSSEN AVE  (1440 W) TO N GREENVIEW AVE  (1500 W),"$2,350.00"
2,Street Speed Hump Menu (2022),ON W ALTGELD ST FROM N SOUTHPORT AVE  (1399 W) TO N JANSSEN AVE  (1440 W),"$2,350.00"
2,Street Speed Hump Replacement (2022),ON N JANSSEN AVE FROM W WEBSTER AVE  (2200 N) TO W ALTGELD ST  (2500 N),$0.00
3,Alley Apron Menu (2022),ON E 42ND ST FROM S CALUMET AVE  (340 E) TO S DR MARTIN LUTHER KING JR DR E (400 E),"$10,087.82"
3,Alley Apron Menu (2022),ON E 42ND ST FROM S PRAIRIE AVE  (300 E) TO S CALUMET AVE  (340 E),"$27,682.86"
3,Alley Apron Menu (2022),ON E 45TH ST FROM S WENTWORTH AVE  (200 W) TO S WELLS ST  (230 W),"$27,963.42"
3,Alley Resurfacing Menu (2022),E 45TH ST &  S DR MARTIN LUTHER KING JR DR&S VINCENNES AVE &  E 45TH PL,"$60,052.92"
3,Alley Resurfacing Menu (2022),E 45TH ST &  S PRAIRIE AVE&E 46TH ST &  S CALUMET AVE,"$79,217.66"
3,Alley Resurfacing Menu (2022),E 49TH ST &  S MICHIGAN AVE&S INDIANA AVE &  E 50TH ST; 4906 S INDIANA AVE,"$47,187.81"
3,Alley Resurfacing Menu (2022),E 52ND ST &  S INDIANA AVE&E 53RD ST &  S PRAIRIE AVE,"$40,924.59"
3,Alley Resurfacing Menu (2022),S DR MARTIN LUTHER KING JR DR &  E 49TH ST&E 50TH ST &  S WASHINGTON PARK CT,"$35,222.69"
3,Alley Resurfacing Menu (2022),S INDIANA AVE &  E 35TH ST&E 37TH ST &  S PRAIRIE AVE,"$70,149.95"
3,Alley Resurfacing Menu (2022),S INDIANA AVE &  E 46TH ST&E 47TH ST &  S PRAIRIE AVE,"$38,111.12"
3,Alley Resurfacing Menu (2022),S MICHIGAN AVE &  E 47TH ST&E 48TH ST &  S INDIANA AVE,"$42,697.20"
3,Alley Resurfacing Menu (2022),W 44TH PL &  S WENTWORTH AVE&S WELLS ST &  W 45TH ST,"$33,516.01"
3,Alley Speed Hump Menu (2022),4314 S DR MARTIN LUTHER KING JR DR W,$700.00
3,Alley Speed Hump Menu (2022),E 44TH PL &  S VINCENNES AVE&S ST LAWRENCE AVE &  E 44TH ST; 516-538 E 44TH PL,$700.00
3,Alley Speed Hump Menu (2022),E 48TH ST &  S MICHIGAN AVE&S INDIANA AVE &  E 49TH ST; 4810 S INDIANA AVE,$700.00
3,Alley Speed Hump Menu (2022),S CALUMET AVE &  E 43RD ST&E 44TH ST &  S DR MARTIN LUTHER KING JR DR W,"$1,400.00"
3,Collector Street - Miscellaneous Concrete  (2022),ON W 48TH ST FROM S MICHIGAN AVE  (100 E) TO S FORRESTVILLE AVE  (540 E),"$9,464.00"
3,Curb & Gutter Menu (2022),338 W SWANN ST,"$16,918.55"
3,Miscellaneous CDOT Projects (2022),221-231 E 43RD ST,$300.00
3,Miscellaneous CDOT Projects (2022),4049 S MICHIGAN AVE,$150.00
3,Miscellaneous CDOT Projects (2022),4207 S INDIANA AVE,$300.00
3,Miscellaneous CDOT Projects (2022),4713 S VINCENNES AVE,$300.00
3,Miscellaneous CDOT Projects (2022),4715 S WABASH AVE,$150.00
3,Miscellaneous CDOT Projects (2022),4930 S PRAIRIE AVE,$300.00
3,Miscellaneous CDOT Projects (2022),5160 S MICHIGAN AVE,$300.00
3,Miscellaneous CDOT Projects (2022),5327 S CALUMET AVE,$300.00
3,Miscellaneous CDOT Projects (2022),5327 S SHIELDS AVE,$150.00
3,Pedestrian Refuge Island Menu (2022),S MICHIGAN AVE &  E 21ST ST,"$23,616.69"
3,Sidewalk Menu (2022),1528 S WABASH AVE,"$31,292.31"
3,Sidewalk Menu (2022),1841 S CALUMET AVE,"$2,103.35"
3,Sidewalk Menu (2022),324 W 42ND ST,"$4,632.64"
3,Sidewalk Menu (2022),347 W 42ND ST,"$19,835.80"
3,Sidewalk Menu (2022),4448 S MICHIGAN AVE,"$5,716.42"
3,Speed Indicator Signs (2022),1808 S STATE ST,"$11,000.00"
3,Speed Indicator Signs (2022),S STATE ST &  E 18TH ST; 1829 S STATE ST,"$11,000.00"
3,Street Bump Outs Menu (2022),E 44TH ST &  S PRAIRIE AVE,"$35,920.07"
3,Street Light Residential Staggered Piggy Back Menu (2022),ON S FEDERAL ST FROM 1208 S TO W 14TH ST  (1400 S); ON S PLYMOUTH CT FROM 1211 S TO W 14TH ST  (1400 S),"$21,757.68"
3,Street Light Upgrade Menu (2022),15 E 37TH ST,$500.00
3,Street Light Upgrade Menu (2022),1600 S INDIANA AVE,$500.00
3,Street Light Upgrade Menu (2022),3101 S MICHIGAN AVE,$500.00
3,Street Light Upgrade Menu (2022),3933 S INDIANA AVE,$500.00
3,Street Light Upgrade Menu (2022),4018 S INDIANA AVE,$500.00
3,Street Light Upgrade Menu (2022),4810 S INDIANA AVE,$500.00
3,Street Light Upgrade Menu (2022),4902 S INDIANA AVE,$500.00
3,Street Light Upgrade Menu (2022),4910 S INDIANA AVE,$500.00
3,Street Light Upgrade Menu (2022),4928 S INDIANA AVE,$500.00
3,Street Resurfacing Menu (2022),200 W 51ST ST,"$17,307.89"
3,Street Resurfacing Menu (2022),ON E 14TH PL FROM S STATE ST  (0 E) TO S WABASH AVE  (50 E),"$39,202.06"
3,Street Resurfacing Menu (2022),ON E 14TH ST FROM 238 E TO S MICHIGAN AVE  (100 E),"$48,016.87"
3,Street Resurfacing Menu (2022),ON E 30TH ST FROM S STATE ST  (0 E) TO S WABASH AVE  (40 E),"$32,745.79"
3,Street Resurfacing Menu (2022),ON E 40TH ST FROM 340 E TO S DR MARTIN LUTHER KING JR DR E (400 E),"$10,851.80"
3,Street Resurfacing Menu (2022),ON E 40TH ST FROM S PRAIRIE AVE  (300 E) TO S DR MARTIN LUTHER KING JR DR W (400 E),"$42,001.45"
3,Street Resurfacing Menu (2022),ON E 42ND ST FROM S PRAIRIE AVE  (300 E) TO S DR MARTIN LUTHER KING JR DR E (400 E),"$52,056.02"
3,Street Resurfacing Menu (2022),ON E 45TH ST FROM S DR MARTIN LUTHER KING JR DR E (400 E) TO S VINCENNES AVE  (499 E),"$62,153.54"
3,Street Resurfacing Menu (2022),ON S CALUMET AVE FROM E 18TH ST  (1800 S) TO E CERMAK RD  (2200 S),"$163,877.43"
3,Street Resurfacing Menu (2022),ON S PRAIRIE AVE FROM E 47TH ST  (4700 S) TO E 48TH ST  (4800 S),"$85,392.04"
3,Street Resurfacing Menu (2022),ON S PRINCETON AVE FROM W 38TH ST  (3760 S) TO W PERSHING RD  (3900 S),"$61,550.94"
3,Street Resurfacing Menu (2022),ON S SHIELDS AVE FROM W 44TH PL  (4430 S) TO W 45TH ST  (4500 S),"$31,739.48"
3,Street Resurfacing Menu (2022),ON S ST LAWRENCE AVE FROM E 44TH ST  (4400 S) TO E 45TH ST  (4500 S),"$72,737.33"
3,Street Resurfacing Menu (2022),ON W 42ND PL FROM 351 W TO S PRINCETON AVE  (300 W),"$52,295.79"
3,Street Speed Hump Menu (2022),ON S PRINCETON AVE FROM W 44TH PL  (4430 S) TO W 45TH ST  (4500 S),"$2,350.00"
3,Street Speed Hump Menu (2022),ON S PRINCETON AVE FROM W 45TH ST  (4500 S) TO W 47TH ST  (4700 S),"$9,400.00"
3,Street Speed Hump Replacement (2022),ON E 45TH ST FROM S DR MARTIN LUTHER KING JR DR E (400 E) TO S VINCENNES AVE  (499 E),$0.00
3,Street Speed Hump Replacement (2022),ON S CALUMET AVE FROM E 18TH ST  (1800 S) TO E 21ST ST  (2100 S),$0.00
3,Street Speed Hump Replacement (2022),ON S PRINCETON AVE FROM W 38TH ST  (3760 S) TO W PERSHING RD  (3900 S),$0.00
4,1 PTZ Camera - 4021 S. Langley,4021 S LANGLEY AVE,"$24,776.00"
4,1 PTZ Camera - 4300 S. Evans,4300 S EVANS AVE,"$24,776.00"
4,1 PTZ Camera - Behind 4015 S. Vincennes,4015 S VINCENNES AVE,"$24,776.00"
4,1 PTZ Camera - Behind 618 S 41st Street,618 E 41ST ST,"$24,776.00"
4,ADA - Street Resurfacing Menu (2022),ON E 50TH PL FROM S ST LAWRENCE AVE  (600 E) TO S CHAMPLAIN AVE  (640 E),"$14,490.00"
4,ADA - Street Resurfacing Menu (2022),ON S VERNON AVE FROM E 33RD ST  (3300 S) TO E 33RD PL  (3340 S),"$28,980.00"
4,Alley Resurfacing Menu (2022),S GILES AVE &  E 33RD BLVD&E 35TH ST &  S PRAIRIE AVE,"$57,728.00"
4,Bus Pad (2022),4352 S COTTAGE GROVE AVE,"$30,513.92"
4,Bus Pad (2022),932 E HYDE PARK BLVD,"$7,987.98"
4,Chamberlain Triangle Park - Permanent Plantings,4227 S GREENWOOD AVE,"$15,000.00"
4,Concrete Alley Menu (2022),S GILES AVE &  E 33RD BLVD&E 35TH ST &  S CALUMET AVE,"$306,863.82"
4,Curb & Gutter Menu (2022),4406 S LAKE PARK AVE,"$23,939.07"
4,Kenwood Park Black Top Replacement,1330 E 50TH ST,"$60,000.00"
4,LED Traffic Signal Upgrades & Pedestrian Countdown Signal (2022),S COTTAGE GROVE AVE &  E 40TH ST,"$20,374.34"
4,Miscellaneous CDOT Projects (2022),4125 S DREXEL BLVD,"$5,737.27"
4,Miscellaneous CDOT Projects (2022),4859 S CHICAGO BEACH DR,$660.00
4,Miscellaneous CDOT Projects (2022),604 E 42ND ST,"$5,648.15"
4,Miscellaneous CDOT Projects (2022),604 E BOWEN AVE,"$11,494.04"
4,Miscellaneous CDOT Projects (2022),620 E 41ST ST,$150.00
4,Miscellaneous CDOT Projects (2022),622 E 41ST ST,"$11,737.45"
4,Miscellaneous CDOT Projects (2022),E 48TH ST &  S GREENWOOD AVE,"$19,896.74"
4,Printers Row Fountain Restoration,632 S DEARBORN ST,"$10,000.00"
4,Sidewalk Menu (2022),4165 S ELLIS AVE,"$12,554.84"
4,Sidewalk Menu (2022),4201 S BERKELEY AVE,"$24,718.58"
4,Sidewalk Menu (2022),E 43RD ST &  S GREENWOOD AVE; S LAKE PARK AVE &  S GREENWOOD AVE; E 43RD ST &  S LAKE PARK AVE,"$25,030.88"
4,Sidewalk Menu (2022),ON E 44TH PL FROM S OAKENWALD AVE  (1240 E) TO S LAKE PARK AVE  (1200 E),"$50,000.00"
4,Speed Indicator Signs (2022),ON S DREXEL AVE FROM E 47TH ST  (4700 S) TO E 49TH ST  (4900 S); 4825 S DREXEL BLVD; 4750-4756 S DREXEL BLVD,"$25,000.00"
4,Street Bump Outs Menu (2022),4584 S OAKENWALD AVE,"$13,958.73"
4,Street Cul-de-Sac Menu (2022),4950 S GREENWOOD AVE,"$49,486.08"
4,Street Light Residential Staggered Piggy Back Menu (2022),ON S ST LAWRENCE AVE FROM E 48TH ST  (4800 S) TO E 49TH ST  (4900 S),"$168,000.00"
4,Street Resurfacing Menu (2022),800 S PARK TER; ON S PARK TER FROM 800 S TO W 9TH ST  (900 S),"$54,018.98"
4,Street Resurfacing Menu (2022),ON E 32ND ST FROM S VERNON AVE  (440 E) TO S DR MARTIN LUTHER KING JR DR  (400 E),"$23,825.01"
4,Street Resurfacing Menu (2022),ON E 50TH PL FROM S ST LAWRENCE AVE  (600 E) TO S CHAMPLAIN AVE  (640 E),"$13,306.48"
4,Street Resurfacing Menu (2022),ON S CHAMPLAIN AVE FROM E 46TH ST  (4600 S) TO E 47TH ST  (4700 S),"$22,281.63"
4,Street Resurfacing Menu (2022),ON S FINANCIAL PL FROM W VAN BUREN ST  (400 S) TO W CONGRESS PKWY  (500 S),"$21,703.61"
4,Street Resurfacing Menu (2022),ON S GILES AVE FROM E 33RD BLVD  (3300 S) TO E 35TH ST  (3500 S),"$121,635.73"
4,Street Resurfacing Menu (2022),ON S KIMBARK AVE FROM 4730 S TO E 48TH ST  (4800 S),"$21,866.79"
4,Street Resurfacing Menu (2022),ON S ST LAWRENCE AVE FROM E 43RD ST  (4300 S) TO E 44TH ST  (4400 S),"$67,967.01"
4,Street Resurfacing Menu (2022),ON S VERNON AVE FROM E 33RD ST  (3300 S) TO E 33RD PL  (3340 S),"$40,240.86"
4,Street Speed Hump Menu (2022),4465 S OAKENWALD AVE; ON S OAKENWALD AVE FROM E 44TH PL  (4430 S) TO S LAKE PARK AVE  (4620 S),"$2,350.00"
4,Street Speed Hump Menu (2022),ON S GILES AVE FROM E 33RD BLVD  (3300 S) TO E 35TH ST  (3500 S),"$11,750.00"
4,Street Speed Hump Replacement (2022),800 S PARK TER; ON S PARK TER FROM 800 S TO W 9TH ST  (900 S),$0.00
5,1 LPR w/ Existing Camera NW Corner Dorchester and South Chicago,S DORCHESTER AVE &  S SOUTH CHICAGO AVE,"$10,971.00"
5,1 POD Camera SW Corner 5300 South Woodlawn Avenue,5300 S WOODLAWN AVE,"$24,776.00"
5,ADA - Street Resurfacing Menu (2022),ON E 69TH ST FROM S EAST END AVE  (1700 E) TO S CREGIER AVE  (1800 E),"$28,980.00"
5,Arterial Street Bump Outs Menu (2022),5200 S HYDE PARK BLVD,"$67,348.44"
5,Concrete Alley Menu (2022),E 55TH ST &  S HYDE PARK BLVD&S CORNELL AVE &  E 56TH ST,"$247,303.83"
5,Curb & Gutter Menu (2022),ON S BLACKSTONE AVE FROM E 53RD ST  (5300 S) TO E 54TH ST  (5400 S),"$33,706.46"
5,Floodlight Menu (2022),S KENWOOD AVE &  E 68TH ST,"$1,900.00"
5,Miscellaneous CDOT Projects (2022),1465 E 69TH PL,$150.00
5,Miscellaneous CDOT Projects (2022),1558 E MARQUETTE RD,$660.00
5,Miscellaneous CDOT Projects (2022),7119 S UNIVERSITY AVE; 7138 S INGLESIDE AVE; 6504-6506 S GREENWOOD AVE; 6602 S DREXEL AVE,$750.00
5,Speed Indicator Signs (2022),ON S SOUTH SHORE DR FROM E 67TH ST  (6600 S) TO E 71ST ST  (2400 E),"$28,000.00"
5,Street Bump Outs Menu (2022),5201 S CORNELL AVE,"$5,437.84"
5,Street Light Residential Staggered Piggy Back Menu (2022),ON S DANTE AVE FROM E 68TH ST  (6800 S) TO E 71ST ST  (7060 S); ON E 69TH ST FROM S DORCHESTER AVE  (1400 E) TO S DANTE AVE  (1440 E),"$430,000.00"
5,Street Resurfacing Menu (2022),ON E 54TH ST FROM S CORNELL AVE  (1630 E) TO S SHORE DR  (1800 E),"$60,522.95"
5,Street Resurfacing Menu (2022),ON E 69TH ST FROM S CONSTANCE AVE  (1830 E) TO S BENNETT AVE  (1900 E),"$23,014.55"
5,Street Resurfacing Menu (2022),ON E 69TH ST FROM S EAST END AVE  (1700 E) TO S CREGIER AVE  (1800 E),"$70,447.33"
5,Street Resurfacing Menu (2022),ON S BLACKSTONE AVE FROM E 53RD ST  (5300 S) TO E 54TH ST  (5400 S),"$47,938.41"
5,Street Resurfacing Menu (2022),ON S SHORE DR FROM E 53RD ST  (5300 S) TO E 55TH ST  (5500 S),"$319,734.85"
6,1 PTZ Camera - NW 7558 S Calumet Ave,7558 S CALUMET AVE,"$24,776.00"
6,Alley Apron Menu (2022),7511 S ST LAWRENCE AVE,"$12,388.76"
6,Alley Apron Menu (2022),7512 S LANGLEY AVE; 7513 S LANGLEY AVE,"$24,121.21"
6,Collector Street - Miscellaneous Concrete  (2022),ON S LANGLEY AVE FROM E 87TH ST  (8700 S) TO E 93RD ST  (9300 S),"$12,324.42"
6,Curb & Gutter Menu (2022),7911-7931 S LANGLEY AVE,"$23,080.56"
6,Floodlight Menu (2022),E 75TH ST &  S PRAIRIE AVE,$252.74
6,Miscellaneous CDOT Projects (2022),501 E 78TH ST,$415.86
6,Miscellaneous CDOT Projects (2022),S DR MARTIN LUTHER KING JR DR &  E 79TH ST; S DR MARTIN LUTHER KING JR DR &  E 71STST; S DR MARTIN LUTHER KING JR DR &  E 87TH ST; S DR MARTIN LUTHER KING JR DR &  E 69TH ST,"$15,529.43"
6,Miscellaneous CDOT Projects (2022),S STATE ST &  E 79TH ST; S STATE ST &  E 87TH ST; S STATE ST &  E 83RD ST,"$15,600.00"
6,Sidewalk Menu (2022),102 W 77TH ST,"$5,440.63"
6,Sidewalk Menu (2022),316 E 69TH PL,"$3,697.83"
6,Sidewalk Menu (2022),43 W 77TH PL; 49 W 77TH PL,"$10,105.76"
6,Sidewalk Menu (2022),52-56 W 77TH PL; 55 W 77TH PL,"$24,006.99"
6,Sidewalk Menu (2022),52 W 78TH PL,"$4,129.76"
6,Sidewalk Menu (2022),631-635 E 88TH ST,"$6,662.63"
6,Sidewalk Menu (2022),7240 S INDIANA AVE,"$2,902.74"
6,Sidewalk Menu (2022),7409 S GREEN ST,"$6,769.07"
6,Sidewalk Menu (2022),7445 S STATE ST,"$24,797.58"
6,Sidewalk Menu (2022),7519 S RHODES AVE; 7515 S RHODES AVE,"$5,698.52"
6,Sidewalk Menu (2022),7639-7643 S EBERHART AVE,"$8,244.19"
6,Sidewalk Menu (2022),7704 S EBERHART AVE,"$2,233.03"
6,Sidewalk Menu (2022),8331 S VERNON AVE,"$4,597.10"
6,Sidewalk Menu (2022),8509 S ST LAWRENCE AVE,"$4,798.00"
6,Sidewalk Menu (2022),8621 S INDIANA AVE,"$3,651.63"
6,Sidewalk Menu (2022),ON S COTTAGE GROVE AVE FROM E 84TH ST  (8400 S) TO E 85TH ST  (8500 S),"$48,383.89"
